-100*"Table"	1.906911409362378*^29*"Table"
-99*"Table"	4.811881212127898*^28*"Table"
-98*"Table"	-1.0573153204252364*^28*"Table"
-97*"Table"	-1.9786214798786657*^28*"Table"
-96*"Table"	-1.231371954968348*^28*"Table"
-95*"Table"	-4.419313111303396*^27*"Table"
-94*"Table"	-3.053544030327735*^26*"Table"
-93*"Table"	8.55768541178963*^26*"Table"
-92*"Table"	7.200938049147804*^26*"Table"
-91*"Table"	3.3248744542276744*^26*"Table"
-90*"Table"	7.364393651523733*^25*"Table"
-89*"Table"	-2.6217585678516105*^25*"Table"
-88*"Table"	-3.78736642481285*^25*"Table"
-87*"Table"	-2.2109937732124887*^25*"Table"
-86*"Table"	-7.357674941562039*^24*"Table"
-85*"Table"	-1.1015459111357475*^23*"Table"
-84*"Table"	1.7269146809949225*^24*"Table"
-83*"Table"	1.3295579561987272*^24*"Table"
-82*"Table"	5.778964825314353*^23*"Table"
-81*"Table"	1.0870656005294635*^23*"Table"
-80*"Table"	-6.023968476830491*^22*"Table"
-79*"Table"	-7.220864532195643*^22*"Table"
-78*"Table"	-3.964899067069146*^22*"Table"
-77*"Table"	-1.2135355069375963*^22*"Table"
-76*"Table"	6.080138135180752*^20*"Table"
-75*"Table"	3.44834075060095*^21*"Table"
-74*"Table"	2.452848782273973*^21*"Table"
-73*"Table"	1.0016878514672283*^21*"Table"
-72*"Table"	1.5159551105298642*^20*"Table"
-71*"Table"	-1.3249189486236264*^20*"Table"
-70*"Table"	-1.3741671637687955*^20*"Table"
-69*"Table"	-7.1090546275114705*^19*"Table"
-68*"Table"	-1.979027795019944*^19*"Table"
-67*"Table"	2.592805639564068*^18*"Table"
-66*"Table"	6.842416487000965*^18*"Table"
-65*"Table"	4.5291190535652644*^18*"Table"
-64*"Table"	1.7325717652304292*^18*"Table"
-63*"Table"	1.906965009522041*^17*"Table"
-62*"Table"	-2.83861422199174*^17*"Table"
-61*"Table"	-2.616681846877964*^17*"Table"
