-100*"Table"	-1.859891445884815*^29*"Table"
-99*"Table"	-9.682195655917003*^28*"Table"
-98*"Table"	-2.7283424457972255*^28*"Table"
-97*"Table"	3.219527356249004*^27*"Table"
-96*"Table"	9.127638750711602*^27*"Table"
-95*"Table"	6.088061828829142*^27*"Table"
-94*"Table"	2.346015589172053*^27*"Table"
-93*"Table"	2.7239425410731947*^26*"Table"
-92*"Table"	-3.711646436043557*^26*"Table"
-91*"Table"	-3.467307269652168*^26*"Table"
-90*"Table"	-1.7015728830307047*^26*"Table"
-89*"Table"	-4.304961847755491*^25*"Table"
-88*"Table"	9.375465626856739*^24*"Table"
-87*"Table"	1.7654045743528976*^25*"Table"
-86*"Table"	1.1006471101421087*^25*"Table"
-85*"Table"	3.9580848031705407*^24*"Table"
-84*"Table"	2.7766821600126028*^23*"Table"
-83*"Table"	-7.643086396665493*^23*"Table"
-82*"Table"	-6.448050842773127*^23*"Table"
-81*"Table"	-2.983046522127844*^23*"Table"
-80*"Table"	-6.633532633796321*^22*"Table"
-79*"Table"	2.3383540433103987*^22*"Table"
-78*"Table"	3.397394196620461*^22*"Table"
-77*"Table"	1.987736043231045*^22*"Table"
-76*"Table"	6.632935527131559*^21*"Table"
-75*"Table"	1.096825826863604*^20*"Table"
-74*"Table"	-1.5512846265643827*^21*"Table"
-73*"Table"	-1.1979623394943723*^21*"Table"
-72*"Table"	-5.220205829484915*^20*"Table"
-71*"Table"	-9.881746321103346*^19*"Table"
-70*"Table"	5.408775166651854*^19*"Table"
-69*"Table"	6.520950761106294*^19*"Table"
-68*"Table"	3.590555351061419*^19*"Table"
-67*"Table"	1.1031963156298324*^19*"Table"
-66*"Table"	-5.2638208029282214*^17*"Table"
-65*"Table"	-3.1203188523626086*^18*"Table"
-64*"Table"	-2.227562081511723*^18*"Table"
-63*"Table"	-9.127529043427795*^17*"Table"
-62*"Table"	-1.3963683806316262*^17*"Table"
-61*"Table"	1.199422992465313*^17*"Table"
-60*"Table"	1.2517082116896526*^17*"Table"
