-100*"Table"	8.310516898144486*^28*"Table"
-99*"Table"	-2.8562819458811015*^28*"Table"
-98*"Table"	-4.193085640387489*^28*"Table"
-97*"Table"	-2.458235706493852*^28*"Table"
-96*"Table"	-8.226042175870113*^27*"Table"
-95*"Table"	-1.608436006044677*^26*"Table"
-94*"Table"	1.8997071809222453*^27*"Table"
-93*"Table"	1.471370683520941*^27*"Table"
-92*"Table"	6.42253705125198*^26*"Table"
-91*"Table"	1.2253577510556812*^26*"Table"
-90*"Table"	-6.548351357153307*^25*"Table"
-89*"Table"	-7.948950462058898*^25*"Table"
-88*"Table"	-4.3832118789288886*^25*"Table"
-87*"Table"	-1.3504587380017404*^25*"Table"
-86*"Table"	5.956523219078152*^23*"Table"
-85*"Table"	3.770531441987255*^24*"Table"
-84*"Table"	2.6970326080305827*^24*"Table"
-83*"Table"	1.1065254666626622*^24*"Table"
-82*"Table"	1.7101629463073593*^23*"Table"
-81*"Table"	-1.4329390656425813*^23*"Table"
-80*"Table"	-1.50186874072561*^23*"Table"
-79*"Table"	-7.803319467968691*^22*"Table"
-78*"Table"	-2.190044342212295*^22*"Table"
-77*"Table"	2.6892303243676436*^21*"Table"
-76*"Table"	7.422814222143984*^21*"Table"
-75*"Table"	4.939466433580557*^21*"Table"
-74*"Table"	1.8993959642496696*^21*"Table"
-73*"Table"	2.1661074340503552*^20*"Table"
-72*"Table"	-3.045803535226384*^20*"Table"
-71*"Table"	-2.8333888366230916*^20*"Table"
-70*"Table"	-1.3883993870262881*^20*"Table"
-69*"Table"	-3.4971807790635102*^19*"Table"
-68*"Table"	7.832815170827534*^18*"Table"
-67*"Table"	1.4543102753762877*^19*"Table"
-66*"Table"	9.052536824568071*^18*"Table"
-65*"Table"	3.249467929598496*^18*"Table"
-64*"Table"	2.2041745290319958*^17*"Table"
-63*"Table"	-6.357830967236603*^17*"Table"
-62*"Table"	-5.34910779423204*^17*"Table"
-61*"Table"	-2.4723394689438602*^17*"Table"
-60*"Table"	-5.4712540479130856*^16*"Table"
-59*"Table"	1.9743834967291652*^16*"Table"
-58*"Table"	2.8455762681366476*^16*"Table"
-57*"Table"	1.6636735514804756*^16*"Table"
-56*"Table"	5.544005546658575*^15*"Table"
-55*"Table"	7.708907628300373*^13*"Table"
-54*"Table"	-1.314001743670729*^15*"Table"
-53*"Table"	-1.0134382507470242*^15*"Table"
-52*"Table"	-4.41560909657285*^14*"Table"
-51*"Table"	-8.314706466851623*^13*"Table"
-50*"Table"	4.649892379294362*^13*"Table"
-49*"Table"	5.5832187509331305*^13*"Table"
-48*"Table"	3.075553725018259*^13*"Table"
-47*"Table"	9.444894474248848*^12*"Table"
-46*"Table"	-4.7882280500570685*^11*"Table"
-45*"Table"	-2.7090157604960005*^12*"Table"
-44*"Table"	-1.9348747801991333*^12*"Table"
-43*"Table"	-7.937633798178146*^11*"Table"
-42*"Table"	-1.2078886858110977*^11*"Table"
-41*"Table"	1.0591528454554642*^11*"Table"
-40*"Table"	1.1047078810985266*^11*"Table"
-39*"Table"	5.7480535396631966*^10*"Table"
-38*"Table"	1.6110423346670845*^10*"Table"
-37*"Table"	-2.1019402627275164*^9*"Table"
-36*"Table"	-5.619950226837137*^9*"Table"
-35*"Table"	-3.7477314751316085*^9*"Table"
-34*"Table"	-1.4453228425569723*^9*"Table"
-33*"Table"	-1.6192358835280502*^8*"Table"
-32*"Table"	2.3874151911855456*^8*"Table"
-31*"Table"	2.2243605546348155*^8*"Table"
-30*"Table"	1.0959867907444194*^8*"Table"
-29*"Table"	2.7689732166090462*^7*"Table"
-28*"Table"	-6.436941783247178*^6*"Table"
-27*"Table"	-1.1885848775906563*^7*"Table"
-26*"Table"	-7.457267241168095*^6*"Table"
-25*"Table"	-2.7005223179499526*^6*"Table"
-24*"Table"	-180848.63763446297*"Table"
-23*"Table"	545341.9777124292*"Table"
-22*"Table"	463869.0922686518*"Table"
-21*"Table"	217321.18375991166*"Table"
-20*"Table"	48803.19784717077*"Table"
-19*"Table"	-17933.60946661109*"Table"
-18*"Table"	-26298.42353563247*"Table"
-17*"Table"	-15683.138215565166*"Table"
-16*"Table"	-5349.3019045933215*"Table"
-15*"Table"	-91.05533316968666*"Table"
-14*"Table"	1316.0939258313958*"Table"
-13*"Table"	1047.3396271111988*"Table"
-12*"Table"	472.5688163611961*"Table"
-11*"Table"	94.2118520281907*"Table"
-10*"Table"	-51.195258393599666*"Table"
-9*"Table"	-65.60077099939024*"Table"
-8*"Table"	-38.31132570089803*"Table"
-7*"Table"	-12.764522560320115*"Table"
-6*"Table"	0.29307996650808305*"Table"
-5*"Table"	3.845339473262156*"Table"
-4*"Table"	3.1346539628386445*"Table"
-3*"Table"	1.5698466322294042*"Table"
-2*"Table"	0.4930671247094391*"Table"
-"Table"	0.06244575217903091*"Table"
0	0.
Table	-0.06244575217903091*"Table"
2*"Table"	-0.4930671247094391*"Table"
3*"Table"	-1.5698466322294042*"Table"
4*"Table"	-3.1346539628386445*"Table"
5*"Table"	-3.845339473262156*"Table"
6*"Table"	-0.29307996650808305*"Table"
7*"Table"	12.764522560320115*"Table"
8*"Table"	38.31132570089803*"Table"
9*"Table"	65.60077099939024*"Table"
10*"Table"	51.195258393599666*"Table"
11*"Table"	-94.2118520281907*"Table"
12*"Table"	-472.5688163611961*"Table"
13*"Table"	-1047.3396271111988*"Table"
14*"Table"	-1316.0939258313958*"Table"
15*"Table"	91.05533316968666*"Table"
16*"Table"	5349.3019045933215*"Table"
17*"Table"	15683.138215565166*"Table"
18*"Table"	26298.42353563247*"Table"
19*"Table"	17933.60946661109*"Table"
20*"Table"	-48803.19784717077*"Table"
21*"Table"	-217321.18375991166*"Table"
22*"Table"	-463869.0922686518*"Table"
23*"Table"	-545341.9777124292*"Table"
24*"Table"	180848.63763446297*"Table"
25*"Table"	2.7005223179499526*^6*"Table"
