#rho	amplitude	phase
0.00000	31.784590	-0.093563
0.00102	31.784590	-0.093544
0.00204	31.784590	-0.093485
0.00306	31.784590	-0.093388
0.00408	31.784590	-0.093251
0.00510	31.784592	-0.093076
0.00612	31.784594	-0.092861
0.00714	31.784597	-0.092608
0.00816	31.784602	-0.092316
0.00918	31.784609	-0.091984
0.01020	31.784620	-0.091614
0.01122	31.784634	-0.091205
0.01224	31.784652	-0.090756
0.01327	31.784676	-0.090269
0.01429	31.784706	-0.089742
0.01531	31.784743	-0.089177
0.01633	31.784788	-0.088573
0.01735	31.784842	-0.087930
0.01837	31.784907	-0.087247
0.01939	31.784983	-0.086526
0.02041	31.785073	-0.085766
0.02143	31.785177	-0.084967
0.02245	31.785297	-0.084128
0.02347	31.785435	-0.083251
0.02449	31.785591	-0.082335
0.02551	31.785769	-0.081380
0.02653	31.785970	-0.080386
0.02755	31.786194	-0.079353
0.02857	31.786446	-0.078281
0.02959	31.786725	-0.077170
0.03061	31.787035	-0.076020
0.03163	31.787378	-0.074831
0.03265	31.787756	-0.073603
0.03367	31.788170	-0.072336
0.03469	31.788625	-0.071030
0.03571	31.789121	-0.069685
0.03673	31.789661	-0.068301
0.03776	31.790248	-0.066878
0.03878	31.790885	-0.065417
0.03980	31.791575	-0.063916
0.04082	31.792319	-0.062377
0.04184	31.793121	-0.060798
0.04286	31.793984	-0.059181
0.04388	31.794912	-0.057525
0.04490	31.795906	-0.055829
0.04592	31.796970	-0.054095
0.04694	31.798107	-0.052322
0.04796	31.799321	-0.050511
0.04898	31.800615	-0.048660
0.05000	31.801993	-0.046770
0.05102	31.803457	-0.044842
0.05204	31.805012	-0.042875
0.05306	31.806661	-0.040869
0.05408	31.808408	-0.038824
0.05510	31.810257	-0.036740
0.05612	31.812211	-0.034618
0.05714	31.814274	-0.032456
0.05816	31.816451	-0.030256
0.05918	31.818745	-0.028018
0.06020	31.821161	-0.025740
0.06122	31.823703	-0.023424
0.06224	31.826375	-0.021070
0.06327	31.829182	-0.018676
0.06429	31.832127	-0.016244
0.06531	31.835216	-0.013774
0.06633	31.838453	-0.011264
0.06735	31.841842	-0.008717
0.06837	31.845389	-0.006130
0.06939	31.849098	-0.003506
0.07041	31.852973	-0.000842
0.07143	31.857021	0.001859
0.07245	31.861245	0.004599
0.07347	31.865651	0.007378
0.07449	31.870244	0.010195
0.07551	31.875029	0.013050
0.07653	31.880011	0.015943
0.07755	31.885196	0.018874
0.07857	31.890590	0.021844
0.07959	31.896196	0.024852
0.08061	31.902022	0.027898
0.08163	31.908072	0.030982
0.08265	31.914352	0.034104
0.08367	31.920868	0.037263
0.08469	31.927625	0.040461
0.08571	31.934631	0.043697
0.08673	31.941889	0.046970
0.08776	31.949407	0.050281
0.08878	31.957190	0.053630
0.08980	31.965244	0.057016
0.09082	31.973577	0.060440
0.09184	31.982192	0.063901
0.09286	31.991098	0.067400
0.09388	32.000300	0.070936
0.09490	32.009805	0.074510
0.09592	32.019619	0.078120
0.09694	32.029749	0.081768
0.09796	32.040201	0.085452
0.09898	32.050981	0.089174
0.10000	32.062097	0.092932
