#Interface: 
#rho	amplitude	phase
0.0000	2.311111	1.313051
0.0021	2.311149	1.321166
0.0042	2.311720	1.345506
0.0063	2.314191	1.386039
0.0083	2.320834	1.442643
0.0104	2.334788	1.514999
0.0125	2.359988	1.602471
0.0146	2.401009	1.703979
0.0167	2.462838	1.817917
0.0187	2.550566	1.942171
0.0208	2.669067	2.074264
0.0229	2.822721	2.211605
0.0250	3.015280	2.351784
0.0271	3.249899	2.492813
0.0292	3.529312	2.633254
0.0312	3.856106	2.772227
0.0333	4.233021	2.909320
0.0354	4.663225	3.044468
0.0375	5.150555	-3.105365
0.0396	5.699703	-2.973541
0.0417	6.316373	-2.842943
0.0437	7.007406	-2.713275
0.0458	7.780893	-2.584277
0.0479	8.646287	-2.455737
0.0500	9.614521	-2.327489
0.0521	10.698127	-2.199414
0.0542	11.911388	-2.071428
0.0563	13.270500	-1.943481
0.0583	14.793771	-1.815541
0.0604	16.501845	-1.687596
0.0625	18.417970	-1.559642
0.0646	20.568305	-1.431682
0.0667	22.982278	-1.303724
0.0688	25.692989	-1.175772
0.0708	28.737680	-1.047835
0.0729	32.158264	-0.919916
0.0750	36.001925	-0.792021
0.0771	40.321805	-0.664150
0.0792	45.177765	-0.536306
0.0813	50.637266	-0.408487
0.0833	56.776341	-0.280694
0.0854	63.680708	-0.152925
0.0875	71.447016	-0.025177
0.0896	80.184258	0.102551
0.0917	90.015357	0.230260
0.0938	101.078965	0.357952
0.0958	113.531485	0.485629
0.0979	127.549362	0.613292
0.1000	143.331663	0.740943
