
R1	R
0.000000	0.535714
0.100000	0.543333
0.200000	0.550000
0.300000	0.555882
0.400000	0.561111
0.500000	0.565789
0.600000	0.570000
0.700000	0.573810
0.800000	0.577273
0.900000	0.580435
1.000000	0.583333
1.100000	0.586000
1.200000	0.588462
1.300000	0.590741
1.400000	0.592857
1.500000	0.594828
1.600000	0.596667
1.700000	0.598387
1.800000	0.600000
1.900000	0.601515
2.000000	0.602941
2.100000	0.604286
2.200000	0.605556
2.300000	0.606757
2.400000	0.607895
2.500000	0.608974
2.600000	0.610000
2.700000	0.610976
2.800000	0.611905
2.900000	0.612791
3.000000	0.613636
3.100000	0.614444
3.200000	0.615217
3.300000	0.615957
3.400000	0.616667
3.500000	0.617347
3.600000	0.618000
3.700000	0.618627
3.800000	0.619231
3.900000	0.619811
4.000000	0.620370
4.100000	0.620909
4.200000	0.621429
4.300000	0.621930
4.400000	0.622414
4.500000	0.622881
4.600000	0.623333
4.700000	0.623770
4.800000	0.624194
4.900000	0.624603
5.000000	0.625000
5.100000	0.625385
5.200000	0.625758
5.300000	0.626119
5.400000	0.626471
5.500000	0.626812
5.600000	0.627143
5.700000	0.627465
5.800000	0.627778
5.900000	0.628082
6.000000	0.628378
6.100000	0.628667
6.200000	0.628947
6.300000	0.629221
6.400000	0.629487
6.500000	0.629747
6.600000	0.630000
6.700000	0.630247
6.800000	0.630488
6.900000	0.630723
7.000000	0.630952
7.100000	0.631176
7.200000	0.631395
7.300000	0.631609
7.400000	0.631818
7.500000	0.632022
7.600000	0.632222
7.700000	0.632418
7.800000	0.632609
7.900000	0.632796
8.000000	0.632979
8.100000	0.633158
8.200000	0.633333
8.300000	0.633505
8.400000	0.633673
8.500000	0.633838
8.600000	0.634000
8.700000	0.634158
8.800000	0.634314
8.900000	0.634466
9.000000	0.634615
9.100000	0.634762
9.200000	0.634906
9.300000	0.635047
9.400000	0.635185
9.500000	0.635321
9.600000	0.635455
9.700000	0.635586
9.800000	0.635714
9.900000	0.635841
10.000000	0.635965
10.100000	0.636087
10.200000	0.636207
10.300000	0.636325
10.400000	0.636441
10.500000	0.636555
10.600000	0.636667
10.700000	0.636777
10.800000	0.636885
10.900000	0.636992
11.000000	0.637097
11.100000	0.637200
11.200000	0.637302
11.300000	0.637402
11.400000	0.637500
11.500000	0.637597
11.600000	0.637692
11.700000	0.637786
11.800000	0.637879
11.900000	0.637970
12.000000	0.638060
12.100000	0.638148
12.200000	0.638235
12.300000	0.638321
12.400000	0.638406
12.500000	0.638489
12.600000	0.638571
12.700000	0.638652
12.800000	0.638732
12.900000	0.638811
13.000000	0.638889
13.100000	0.638966
13.200000	0.639041
13.300000	0.639116
13.400000	0.639189
13.500000	0.639262
13.600000	0.639333
13.700000	0.639404
13.800000	0.639474
13.900000	0.639542
14.000000	0.639610
14.100000	0.639677
14.200000	0.639744
14.300000	0.639809
14.400000	0.639873
14.500000	0.639937
14.600000	0.640000
14.700000	0.640062
14.800000	0.640123
14.900000	0.640184
15.000000	0.640244
15.100000	0.640303
15.200000	0.640361
15.300000	0.640419
15.400000	0.640476
15.500000	0.640533
15.600000	0.640588
15.700000	0.640643
15.800000	0.640698
15.900000	0.640751
16.000000	0.640805
16.100000	0.640857
16.200000	0.640909
16.300000	0.640960
16.400000	0.641011
16.500000	0.641061
16.600000	0.641111
16.700000	0.641160
16.800000	0.641209
16.900000	0.641257
17.000000	0.641304
17.100000	0.641351
17.200000	0.641398
17.300000	0.641444
17.400000	0.641489
17.500000	0.641534
17.600000	0.641579
17.700000	0.641623
17.800000	0.641667
17.900000	0.641710
18.000000	0.641753
18.100000	0.641795
18.200000	0.641837
18.300000	0.641878
18.400000	0.641919
18.500000	0.641960
18.600000	0.642000
18.700000	0.642040
18.800000	0.642079
18.900000	0.642118
19.000000	0.642157
19.100000	0.642195
19.200000	0.642233
19.300000	0.642271
19.400000	0.642308
19.500000	0.642344
19.600000	0.642381
19.700000	0.642417
19.800000	0.642453
19.900000	0.642488
20.000000	0.642523
20.100000	0.642558
20.200000	0.642593
20.300000	0.642627
20.400000	0.642661
20.500000	0.642694
20.600000	0.642727
20.700000	0.642760
20.800000	0.642793
20.900000	0.642825
21.000000	0.642857
21.100000	0.642889
21.200000	0.642920
21.300000	0.642952
21.400000	0.642982
21.500000	0.643013
21.600000	0.643043
21.700000	0.643074
21.800000	0.643103
21.900000	0.643133
22.000000	0.643162
22.100000	0.643191
22.200000	0.643220
22.300000	0.643249
22.400000	0.643277
22.500000	0.643305
22.600000	0.643333
22.700000	0.643361
22.800000	0.643388
22.900000	0.643416
23.000000	0.643443
23.100000	0.643469
23.200000	0.643496
23.300000	0.643522
23.400000	0.643548
23.500000	0.643574
23.600000	0.643600
23.700000	0.643625
23.800000	0.643651
23.900000	0.643676
24.000000	0.643701
24.100000	0.643725
24.200000	0.643750
24.300000	0.643774
24.400000	0.643798
24.500000	0.643822
24.600000	0.643846
24.700000	0.643870
24.800000	0.643893
24.900000	0.643916
25.000000	0.643939
25.100000	0.643962
25.200000	0.643985
25.300000	0.644007
25.400000	0.644030
25.500000	0.644052
25.600000	0.644074
25.700000	0.644096
25.800000	0.644118
25.900000	0.644139
26.000000	0.644161
26.100000	0.644182
26.200000	0.644203
26.300000	0.644224
26.400000	0.644245
26.500000	0.644265
26.600000	0.644286
26.700000	0.644306
26.800000	0.644326
26.900000	0.644346
27.000000	0.644366
27.100000	0.644386
27.200000	0.644406
27.300000	0.644425
27.400000	0.644444
27.500000	0.644464
27.600000	0.644483
27.700000	0.644502
27.800000	0.644521
27.900000	0.644539
28.000000	0.644558
28.100000	0.644576
28.200000	0.644595
28.300000	0.644613
28.400000	0.644631
28.500000	0.644649
28.600000	0.644667
28.700000	0.644684
28.800000	0.644702
28.900000	0.644719
29.000000	0.644737
29.100000	0.644754
29.200000	0.644771
29.300000	0.644788
29.400000	0.644805
29.500000	0.644822
29.600000	0.644839
29.700000	0.644855
29.800000	0.644872
29.900000	0.644888
30.000000	0.644904
30.100000	0.644921
30.200000	0.644937
30.300000	0.644953
30.400000	0.644969
30.500000	0.644984
30.600000	0.645000
30.700000	0.645016
30.800000	0.645031
30.900000	0.645046
31.000000	0.645062
31.100000	0.645077
31.200000	0.645092
31.300000	0.645107
31.400000	0.645122
31.500000	0.645137
31.600000	0.645152
31.700000	0.645166
31.800000	0.645181
31.900000	0.645195
32.000000	0.645210
32.100000	0.645224
32.200000	0.645238
32.300000	0.645252
32.400000	0.645266
32.500000	0.645280
32.600000	0.645294
32.700000	0.645308
32.800000	0.645322
32.900000	0.645335
33.000000	0.645349
33.100000	0.645362
33.200000	0.645376
33.300000	0.645389
33.400000	0.645402
33.500000	0.645415
33.600000	0.645429
33.700000	0.645442
33.800000	0.645455
33.900000	0.645467
34.000000	0.645480
34.100000	0.645493
34.200000	0.645506
34.300000	0.645518
34.400000	0.645531
34.500000	0.645543
34.600000	0.645556
34.700000	0.645568
34.800000	0.645580
34.900000	0.645592
35.000000	0.645604
35.100000	0.645616
35.200000	0.645628
35.300000	0.645640
35.400000	0.645652
35.500000	0.645664
35.600000	0.645676
35.700000	0.645687
35.800000	0.645699
35.900000	0.645710
36.000000	0.645722
36.100000	0.645733
36.200000	0.645745
36.300000	0.645756
36.400000	0.645767
36.500000	0.645778
36.600000	0.645789
36.700000	0.645801
36.800000	0.645812
36.900000	0.645822
37.000000	0.645833
37.100000	0.645844
37.200000	0.645855
37.300000	0.645866
37.400000	0.645876
37.500000	0.645887
37.600000	0.645897
37.700000	0.645908
37.800000	0.645918
37.900000	0.645929
38.000000	0.645939
38.100000	0.645949
38.200000	0.645960
38.300000	0.645970
38.400000	0.645980
38.500000	0.645990
38.600000	0.646000
38.700000	0.646010
38.800000	0.646020
38.900000	0.646030
39.000000	0.646040
39.100000	0.646049
39.200000	0.646059
39.300000	0.646069
39.400000	0.646078
39.500000	0.646088
39.600000	0.646098
39.700000	0.646107
39.800000	0.646117
39.900000	0.646126
40.000000	0.646135
40.100000	0.646145
40.200000	0.646154
40.300000	0.646163
40.400000	0.646172
40.500000	0.646181
40.600000	0.646190
40.700000	0.646200
40.800000	0.646209
40.900000	0.646217
41.000000	0.646226
41.100000	0.646235
41.200000	0.646244
41.300000	0.646253
41.400000	0.646262
41.500000	0.646270
41.600000	0.646279
41.700000	0.646288
41.800000	0.646296
41.900000	0.646305
42.000000	0.646313
42.100000	0.646322
42.200000	0.646330
42.300000	0.646339
42.400000	0.646347
42.500000	0.646355
42.600000	0.646364
42.700000	0.646372
42.800000	0.646380
42.900000	0.646388
43.000000	0.646396
43.100000	0.646404
43.200000	0.646413
43.300000	0.646421
43.400000	0.646429
43.500000	0.646437
43.600000	0.646444
43.700000	0.646452
43.800000	0.646460
43.900000	0.646468
44.000000	0.646476
44.100000	0.646484
44.200000	0.646491
44.300000	0.646499
44.400000	0.646507
44.500000	0.646514
44.600000	0.646522
44.700000	0.646529
44.800000	0.646537
44.900000	0.646544
45.000000	0.646552
45.100000	0.646559
45.200000	0.646567
45.300000	0.646574
45.400000	0.646581
45.500000	0.646588
45.600000	0.646596
45.700000	0.646603
45.800000	0.646610
45.900000	0.646617
46.000000	0.646624
46.100000	0.646632
46.200000	0.646639
