
R1	R
0.000000	0.350000
0.100000	0.381579
0.200000	0.406250
0.300000	0.426056
0.400000	0.442308
0.500000	0.455882
0.600000	0.467391
0.700000	0.477273
0.800000	0.485849
0.900000	0.493363
1.000000	0.500000
1.100000	0.505906
1.200000	0.511194
1.300000	0.515957
1.400000	0.520270
1.500000	0.524194
1.600000	0.527778
1.700000	0.531065
1.800000	0.534091
1.900000	0.536885
2.000000	0.539474
2.100000	0.541878
2.200000	0.544118
2.300000	0.546209
2.400000	0.548165
2.500000	0.550000
2.600000	0.551724
2.700000	0.553347
2.800000	0.554878
2.900000	0.556324
3.000000	0.557692
3.100000	0.558989
3.200000	0.560219
3.300000	0.561388
3.400000	0.562500
3.500000	0.563559
3.600000	0.564570
3.700000	0.565534
3.800000	0.566456
3.900000	0.567337
4.000000	0.568182
4.100000	0.568991
4.200000	0.569767
4.300000	0.570513
4.400000	0.571229
4.500000	0.571918
4.600000	0.572581
4.700000	0.573219
4.800000	0.573834
4.900000	0.574427
5.000000	0.575000
5.100000	0.575553
5.200000	0.576087
5.300000	0.576603
5.400000	0.577103
5.500000	0.577586
5.600000	0.578054
5.700000	0.578508
5.800000	0.578947
5.900000	0.579374
6.000000	0.579787
6.100000	0.580189
6.200000	0.580579
6.300000	0.580957
6.400000	0.581325
6.500000	0.581683
6.600000	0.582031
6.700000	0.582370
6.800000	0.582700
6.900000	0.583021
7.000000	0.583333
7.100000	0.583638
7.200000	0.583935
7.300000	0.584225
7.400000	0.584507
7.500000	0.584783
7.600000	0.585052
7.700000	0.585314
7.800000	0.585570
7.900000	0.585821
8.000000	0.586066
8.100000	0.586305
8.200000	0.586538
8.300000	0.586767
8.400000	0.586991
8.500000	0.587209
8.600000	0.587423
8.700000	0.587633
8.800000	0.587838
8.900000	0.588039
9.000000	0.588235
9.100000	0.588428
9.200000	0.588617
9.300000	0.588802
9.400000	0.588983
9.500000	0.589161
9.600000	0.589335
9.700000	0.589506
9.800000	0.589674
9.900000	0.589838
10.000000	0.590000
10.100000	0.590159
10.200000	0.590314
10.300000	0.590467
10.400000	0.590617
10.500000	0.590764
10.600000	0.590909
10.700000	0.591051
10.800000	0.591191
10.900000	0.591328
11.000000	0.591463
11.100000	0.591596
11.200000	0.591727
11.300000	0.591855
11.400000	0.591981
11.500000	0.592105
11.600000	0.592227
11.700000	0.592348
11.800000	0.592466
11.900000	0.592582
12.000000	0.592697
12.100000	0.592809
12.200000	0.592920
12.300000	0.593030
12.400000	0.593137
12.500000	0.593243
12.600000	0.593348
12.700000	0.593450
12.800000	0.593552
12.900000	0.593652
13.000000	0.593750
13.100000	0.593847
13.200000	0.593943
13.300000	0.594037
13.400000	0.594130
13.500000	0.594221
13.600000	0.594311
13.700000	0.594400
13.800000	0.594488
13.900000	0.594575
14.000000	0.594660
14.100000	0.594744
14.200000	0.594828
14.300000	0.594910
14.400000	0.594991
14.500000	0.595070
14.600000	0.595149
14.700000	0.595227
14.800000	0.595304
14.900000	0.595380
15.000000	0.595455
15.100000	0.595528
15.200000	0.595601
15.300000	0.595674
15.400000	0.595745
15.500000	0.595815
15.600000	0.595884
15.700000	0.595953
15.800000	0.596021
15.900000	0.596088
16.000000	0.596154
16.100000	0.596219
16.200000	0.596284
16.300000	0.596348
16.400000	0.596411
16.500000	0.596473
16.600000	0.596535
16.700000	0.596596
16.800000	0.596656
16.900000	0.596715
17.000000	0.596774
17.100000	0.596832
17.200000	0.596890
17.300000	0.596947
17.400000	0.597003
17.500000	0.597059
17.600000	0.597114
17.700000	0.597168
17.800000	0.597222
17.900000	0.597276
18.000000	0.597328
18.100000	0.597380
18.200000	0.597432
18.300000	0.597483
18.400000	0.597534
18.500000	0.597584
18.600000	0.597633
18.700000	0.597682
18.800000	0.597731
18.900000	0.597779
19.000000	0.597826
19.100000	0.597873
19.200000	0.597920
19.300000	0.597966
19.400000	0.598011
19.500000	0.598057
19.600000	0.598101
19.700000	0.598146
19.800000	0.598189
19.900000	0.598233
20.000000	0.598276
20.100000	0.598318
20.200000	0.598361
20.300000	0.598402
20.400000	0.598444
20.500000	0.598485
20.600000	0.598525
20.700000	0.598566
20.800000	0.598606
20.900000	0.598645
21.000000	0.598684
21.100000	0.598723
21.200000	0.598761
21.300000	0.598799
21.400000	0.598837
21.500000	0.598875
21.600000	0.598912
21.700000	0.598948
21.800000	0.598985
21.900000	0.599021
22.000000	0.599057
22.100000	0.599092
22.200000	0.599127
22.300000	0.599162
22.400000	0.599197
22.500000	0.599231
22.600000	0.599265
22.700000	0.599298
22.800000	0.599332
22.900000	0.599365
23.000000	0.599398
23.100000	0.599430
23.200000	0.599462
23.300000	0.599494
23.400000	0.599526
23.500000	0.599558
23.600000	0.599589
23.700000	0.599620
23.800000	0.599650
23.900000	0.599681
24.000000	0.599711
24.100000	0.599741
24.200000	0.599771
24.300000	0.599800
24.400000	0.599829
24.500000	0.599858
24.600000	0.599887
24.700000	0.599916
24.800000	0.599944
24.900000	0.599972
25.000000	0.600000
25.100000	0.600028
25.200000	0.600055
25.300000	0.600082
25.400000	0.600109
25.500000	0.600136
25.600000	0.600163
25.700000	0.600189
25.800000	0.600216
25.900000	0.600242
26.000000	0.600267
26.100000	0.600293
26.200000	0.600318
26.300000	0.600344
26.400000	0.600369
26.500000	0.600394
26.600000	0.600418
26.700000	0.600443
26.800000	0.600467
26.900000	0.600491
27.000000	0.600515
27.100000	0.600539
27.200000	0.600563
27.300000	0.600586
27.400000	0.600610
27.500000	0.600633
27.600000	0.600656
27.700000	0.600679
27.800000	0.600701
27.900000	0.600724
28.000000	0.600746
28.100000	0.600768
28.200000	0.600791
28.300000	0.600812
28.400000	0.600834
28.500000	0.600856
28.600000	0.600877
28.700000	0.600898
28.800000	0.600920
28.900000	0.600941
29.000000	0.600962
29.100000	0.600982
29.200000	0.601003
29.300000	0.601023
29.400000	0.601044
29.500000	0.601064
29.600000	0.601084
29.700000	0.601104
29.800000	0.601124
29.900000	0.601143
30.000000	0.601163
30.100000	0.601182
30.200000	0.601201
30.300000	0.601221
30.400000	0.601240
30.500000	0.601259
30.600000	0.601277
30.700000	0.601296
30.800000	0.601315
30.900000	0.601333
31.000000	0.601351
31.100000	0.601370
31.200000	0.601388
31.300000	0.601406
31.400000	0.601423
31.500000	0.601441
31.600000	0.601459
31.700000	0.601476
31.800000	0.601494
31.900000	0.601511
32.000000	0.601528
32.100000	0.601545
32.200000	0.601562
32.300000	0.601579
32.400000	0.601596
32.500000	0.601613
32.600000	0.601630
32.700000	0.601646
32.800000	0.601662
32.900000	0.601679
33.000000	0.601695
33.100000	0.601711
33.200000	0.601727
33.300000	0.601743
33.400000	0.601759
33.500000	0.601775
33.600000	0.601790
33.700000	0.601806
33.800000	0.601821
33.900000	0.601837
34.000000	0.601852
